,i_i_glide_lignum,r_i_docking_score,SMILES
195,19429,-10.4563,O=C1C[C@H]([C@@H]2CCCCN2C(=O)N[C@@H]2CCc3c2ccc(Cl)c3Cl)CN1
196,4320,-10.4561,NC(=O)C1(O)CCN(C(=O)C2(c3ccc(F)cc3F)CCC2)CC1
197,17570,-10.4558,O=C([C@@H]1CCCc2ccccc21)N1CCC(c2c[nH]c3ncccc23)CC1
198,18554,-10.4539,O=C(CCc1cncnc1)N1CCCC[C@@H]1c1nc(-c2cccc(F)c2)c[nH]1
199,8593,-10.4534,O=C(c1cn(-c2ccccc2Cl)nn1)N1CCC([C@H](O)c2ccc(F)cc2)CC1
200,9691,-10.4505,COc1ccc2c(c1)[C@H](C(=O)N1CCNC(=O)[C@@H]1c1ccccc1C)CC2
201,10669,-10.4439,O=C(Cn1[nH]cc2c(=O)ncnc1-2)N[C@H](CCCc1ccccc1)c1ccccc1
202,9550,-10.4434,Cn1cc(CCNC(=O)CCc2c(-c3ccccc3)[nH]c3ccc(F)cc23)cn1
203,7922,-10.4432,C[C@H]1CN(C(=O)c2cnc3[nH]cnc3c2)CC[C@H]1c1ccccc1
204,10906,-10.4423,Cc1cc(Br)ccc1NC(=O)CN(C)C(=O)c1cc(Cc2ccccc2)n[nH]1
205,7625,-10.4321,CCCC(=O)N1CCC[C@H](C(=O)N2CCC(N3CCc4cc(F)ccc43)CC2)C1
206,19181,-10.4303,Cc1ccc([C@@H](C)N(C)C(=O)NCc2cc(-c3ccccc3)on2)cc1
207,435,-10.428,Cn1cc(CNc2cccc(CN3CCCC3=O)c2)c(-c2cc(F)ccc2F)n1
208,10830,-10.4256,C[C@@]1(c2ccc(CNC(=O)c3cc4c(C(F)(F)F)cc(=O)[nH]c4o3)cc2)NC(=O)NC1=O
209,4728,-10.4256,O=C(NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)c1cccnc1
210,11548,-10.425,Cc1nc(NC(=O)N2CC(=O)N[C@@H]3CCCC[C@H]32)ccc1-c1ccccc1
211,4268,-10.4214,Cc1ccc(-n2nc(C(=O)Nc3cccc([C@@]4(C)NC(=O)NC4=O)c3)c3c2CCC3)c(F)c1
212,6971,-10.4188,O=C(COc1ccc2ccccc2c1)NCCc1cccc(O)c1
213,10676,-10.4174,O=C(NCc1ccc2c(c1)OCCO2)NC1CCN(C(=O)c2ccccc2)CC1
214,14756,-10.4173,COc1cccc([C@@H](O)CN(Cc2ccccc2)C(=O)Cn2cnc3c(cnn3C)c2=O)c1
215,2360,-10.4158,O=C(NCc1nc2ccccc2[nH]1)[C@H]1CC(=O)N(c2ccc(Cl)cc2)C1
